新闻标题,国家,城市,纬度,经度
俄国防部：乌克兰无人机袭击能源设施致俄大量用户断电,无,无,无,无
我在现场·照片背后的故事丨十三年后，我再次来到埃拉特,无,无,无,无
利雅得会谈后，袭击未停止,无,无,无,无
乌克兰：多地仓库办公楼遭无人机袭击,无,无,无,无
乌克兰：多地仓库办公楼遭无人机袭击,无,无,无,无
乌克兰：多地仓库办公楼遭无人机袭击,无,无,无,无
俄国防部：乌军再次袭击俄境内能源基础设施,无,无,无,无
乌克兰首都遭无人机袭击?造成3人死亡8人受伤,无,无,无,无
乌克兰首都遭大规模无人机袭击,无,无,无,无
乌克兰首都遭袭3人死亡,无,无,无,无
乌克兰首都基辅遭大规模无人机袭击,无,无,无,无
新华社消息丨乌克兰首都基辅遭大规模无人机袭击,无,无,无,无
新华社消息丨乌克兰首都基辅遭大规模无人机袭击,无,无,无,无
乌克兰首都基辅遭大规模无人机袭击,无,无,无,无
乌克兰首都基辅遭大规模无人机袭击,无,无,无,无
乌克兰首都基辅遭大规模无人机袭击,无,无,无,无
乌克兰称袭击了俄罗斯恩格斯军用机场,无,无,无,无
美乌总统就乌克兰停火谈判等问题通话,无,无,无,无
俄国防部称已暂停袭击乌能源设施?泽连斯基反驳,无,无,无,无
特朗普称伊朗要为胡塞武装今后袭击承担“可怕”后果,无,无,无,无
乌多地遭俄无人机袭击,无,无,无,无
乌克兰多地遭俄军无人机袭击,无,无,无,无
乌克兰多地遭俄军无人机袭击,无,无,无,无
也门胡塞武装称在红海袭击美国航母及随行舰只,无,无,无,无
以军袭击加沙北部造成至少9人死亡,无,无,无,无
以军袭击加沙北部造成至少9人死亡,无,无,无,无
国际观察丨美乌会面?分歧难消,无,无,无,无
俄遭遇今年来最大规模无人机袭击,无,无,无,无
俄罗斯遭遇今年以来最大规模的无人机袭击,无,无,无,无
俄罗斯遭遇今年以来最大规模的无人机袭击,无,无,无,无
俄罗斯遭遇今年以来最大规模的无人机袭击,无,无,无,无
俄罗斯遭遇今年以来最大规模的无人机袭击,无,无,无,无
俄莫斯科州遭大规模无人机袭击致1死多伤,无,无,无,无
俄莫斯科州遭大规模无人机袭击致1死多伤,无,无,无,无
俄莫斯科州遭大规模无人机袭击致1死多伤,无,无,无,无
莫斯科遭大规模无人机袭击,无,无,无,无
莫斯科遭大规模无人机袭击,无,无,无,无
乌克兰电力和天然气基础设施遭大规模空袭,无,无,无,无
俄国防部：乌克兰无人机袭击俄天然气压缩站设施,无,无,无,无
俄国防部：乌克兰无人机袭击俄境内天然气压缩站设施,无,无,无,无
